strategy,window,start,end,n_weeks,ann_return,ann_vol,sharpe,dsr,max_drawdown,hit_rate
equal_weight_1_7,full_sample,2007-07-27,2026-06-12,986,0.07362465458614587,0.12898172006979883,0.5708146437053535,0.9953840631918535,-0.39442989970107944,0.5598377281947262
equal_weight_1_7,gfc_2008,2008-09-05,2009-03-27,30,-0.38959413586830305,0.3618160240034664,-1.0767741338746526,0.19225045643429156,-0.326376667047943,0.4
equal_weight_1_7,covid_2020,2020-02-21,2020-05-29,15,-0.18026393257992313,0.4144753958679875,-0.43492070790454856,,-0.22626825158756403,0.5333333333333333
equal_weight_1_7,rate_shock_2022,2022-01-07,2022-10-28,43,-0.24711622596875582,0.138113578114969,-1.7892247043447853,0.04665161455338861,-0.2268494806246475,0.32558139534883723
equal_weight_1_7,dotcom_2000_2002,2000-03-01,2002-10-31,0,,,,,,
sixty_forty,full_sample,2007-07-27,2026-06-12,986,0.06564032805732567,0.13267499341133857,0.4947452897458819,0.989535349570769,-0.4313626336115338,0.5649087221095335
sixty_forty,gfc_2008,2008-09-05,2009-03-27,30,-0.4309407405392569,0.3879805841854903,-1.11072759335098,0.17753454964819726,-0.3554581908128619,0.4666666666666667
sixty_forty,covid_2020,2020-02-21,2020-05-29,15,-0.21532649162876316,0.422288911864428,-0.509903257175485,,-0.2305538140774196,0.5333333333333333
sixty_forty,rate_shock_2022,2022-01-07,2022-10-28,43,-0.2675038885892089,0.1487133085902193,-1.7987891677288816,0.04643138407329315,-0.24472177087905922,0.32558139534883723
sixty_forty,dotcom_2000_2002,2000-03-01,2002-10-31,0,,,,,,
m1_only,full_sample,2007-07-27,2026-06-12,986,0.014041343792003724,0.06914508280010302,0.20307074955130147,0.8480551157487749,-0.14809347458835986,0.5182555780933062
m1_only,gfc_2008,2008-09-05,2009-03-27,30,0.15553706802649248,0.15822567541575475,0.9830077679731961,0.7625303096641489,-0.07350603948241197,0.5
m1_only,covid_2020,2020-02-21,2020-05-29,15,-0.043792868469716084,0.18543478465460742,-0.23616318023225844,,-0.05086643159262594,0.4
m1_only,rate_shock_2022,2022-01-07,2022-10-28,43,-0.08534622568260974,0.0629497033379005,-1.3557843986093077,0.10379010998967392,-0.09013897002589843,0.4186046511627907
m1_only,dotcom_2000_2002,2000-03-01,2002-10-31,0,,,,,,
m1_m2_binary,full_sample,2007-07-27,2026-06-12,986,0.02494383029578584,0.06291782437565151,0.39645093490293704,0.9601780043921453,-0.23080697060341626,0.29918864097363085
m1_m2_binary,gfc_2008,2008-09-05,2009-03-27,30,-0.288259438278615,0.1710284527787588,-1.6854472667861022,0.03515872406063882,-0.21487088401276,0.26666666666666666
m1_m2_binary,covid_2020,2020-02-21,2020-05-29,15,0.09644877855964551,0.02478282678910972,3.8917585705771,,-0.0053489116040279505,0.4666666666666667
m1_m2_binary,rate_shock_2022,2022-01-07,2022-10-28,43,-0.24079558485547348,0.12326894350199931,-1.9534164730759456,0.03320533729060874,-0.20049621142962804,0.32558139534883723
m1_m2_binary,dotcom_2000_2002,2000-03-01,2002-10-31,0,,,,,,
m1_m2_linear,full_sample,2007-07-27,2026-06-12,986,0.006276527674953236,0.011238031561266558,0.5585077458392415,0.9898706153498029,-0.042153246337636174,0.5709939148073022
m1_m2_linear,gfc_2008,2008-09-05,2009-03-27,30,-0.047092190424910085,0.02980389561648324,-1.5800682914372255,0.08212533329732968,-0.042153246337636174,0.43333333333333335
m1_m2_linear,covid_2020,2020-02-21,2020-05-29,15,0.00724415422593383,0.014709936881524315,0.49246671037946393,,-0.007559781944417976,0.5333333333333333
m1_m2_linear,rate_shock_2022,2022-01-07,2022-10-28,43,-0.04613528181102222,0.024935341402023675,-1.8501965169515595,0.05066360279987751,-0.040150175676373134,0.4186046511627907
m1_m2_linear,dotcom_2000_2002,2000-03-01,2002-10-31,0,,,,,,
m1_m2_ecdf,full_sample,2007-07-27,2026-06-12,986,0.05339320609024312,0.06865126247107547,0.7777454364038685,0.9996059525887232,-0.11023166022762843,0.5780933062880325
m1_m2_ecdf,gfc_2008,2008-09-05,2009-03-27,30,0.07750075449733229,0.1133156606166604,0.6839368369347673,0.6913738595571619,-0.07279704200719372,0.6666666666666666
m1_m2_ecdf,covid_2020,2020-02-21,2020-05-29,15,-0.034423566398343874,0.12498578263227725,-0.27541985714984896,,-0.06844070068859076,0.5333333333333333
m1_m2_ecdf,rate_shock_2022,2022-01-07,2022-10-28,43,-0.10944874830717366,0.07812163677869288,-1.4010042904915816,0.10233271139449013,-0.1102316602276292,0.4186046511627907
m1_m2_ecdf,dotcom_2000_2002,2000-03-01,2002-10-31,0,,,,,,
