strategy,window,start,end,n_weeks,ann_return,ann_vol,sharpe,dsr,max_drawdown,hit_rate
equal_weight_1_7,full_sample,2007-07-27,2026-06-12,986,0.07362465458614587,0.12898172006979883,0.5708146437053535,0.9953840631918535,-0.39442989970107944,0.5598377281947262
equal_weight_1_7,gfc_2008,2008-09-05,2009-03-27,30,-0.38959413586830305,0.3618160240034664,-1.0767741338746526,0.19225045643429156,-0.326376667047943,0.4
equal_weight_1_7,covid_2020,2020-02-21,2020-05-29,15,-0.18026393257992313,0.4144753958679875,-0.43492070790454856,,-0.22626825158756403,0.5333333333333333
equal_weight_1_7,rate_shock_2022,2022-01-07,2022-10-28,43,-0.24711622596875582,0.138113578114969,-1.7892247043447853,0.04665161455338861,-0.2268494806246475,0.32558139534883723
equal_weight_1_7,dotcom_2000_2002,2000-03-01,2002-10-31,0,,,,,,
sixty_forty,full_sample,2007-07-27,2026-06-12,986,0.06564032805732567,0.13267499341133857,0.4947452897458819,0.989535349570769,-0.4313626336115338,0.5649087221095335
sixty_forty,gfc_2008,2008-09-05,2009-03-27,30,-0.4309407405392569,0.3879805841854903,-1.11072759335098,0.17753454964819726,-0.3554581908128619,0.4666666666666667
sixty_forty,covid_2020,2020-02-21,2020-05-29,15,-0.21532649162876316,0.422288911864428,-0.509903257175485,,-0.2305538140774196,0.5333333333333333
sixty_forty,rate_shock_2022,2022-01-07,2022-10-28,43,-0.2675038885892089,0.1487133085902193,-1.7987891677288816,0.04643138407329315,-0.24472177087905922,0.32558139534883723
sixty_forty,dotcom_2000_2002,2000-03-01,2002-10-31,0,,,,,,
m1_only,full_sample,2007-07-27,2026-06-12,986,0.07187137725885973,0.10481877074860262,0.6856727735458381,0.9986675798405094,-0.2214520171949722,0.579107505070994
m1_only,gfc_2008,2008-09-05,2009-03-27,30,-0.20290719778812494,0.18230451864616515,-1.1130124436572388,0.17125687142580504,-0.1862481602163757,0.4666666666666667
m1_only,covid_2020,2020-02-21,2020-05-29,15,-0.18662784177823366,0.21328193367359172,-0.8750288341995732,,-0.13795526514041023,0.6666666666666666
m1_only,rate_shock_2022,2022-01-07,2022-10-28,43,-0.22985919514021214,0.12802339043731698,-1.7954468660377823,0.043590401736692624,-0.21445193699690557,0.37209302325581395
m1_only,dotcom_2000_2002,2000-03-01,2002-10-31,0,,,,,,
m1_m2_binary,full_sample,2007-07-27,2026-06-12,986,0.06987273592450327,0.104011820179695,0.6717768788565408,0.9983966498056518,-0.23297318433387437,0.577079107505071
m1_m2_binary,gfc_2008,2008-09-05,2009-03-27,30,-0.239165249214231,0.1741769623775614,-1.3731164325612433,0.09331501744703419,-0.19163832254755897,0.4666666666666667
m1_m2_binary,covid_2020,2020-02-21,2020-05-29,15,-0.18662784177823366,0.21328193367359172,-0.8750288341995732,,-0.13795526514041023,0.6666666666666666
m1_m2_binary,rate_shock_2022,2022-01-07,2022-10-28,43,-0.22985919514021258,0.12802339043731695,-1.795446866037786,0.043590401736692666,-0.2144519369969059,0.37209302325581395
m1_m2_binary,dotcom_2000_2002,2000-03-01,2002-10-31,0,,,,,,
m1_m2_linear,full_sample,2007-07-27,2026-06-12,986,0.017508419600944958,0.021238498545806252,0.8243718153231772,0.9997685778600889,-0.05174380539942358,0.579107505070994
m1_m2_linear,gfc_2008,2008-09-05,2009-03-27,30,-0.04271914367545704,0.04408529825457956,-0.9690111072577215,0.21697265536642757,-0.04716506216475835,0.4666666666666667
m1_m2_linear,covid_2020,2020-02-21,2020-05-29,15,0.01365167991916949,0.04623439463404196,0.2952710861086496,,-0.025469753437698306,0.6666666666666666
m1_m2_linear,rate_shock_2022,2022-01-07,2022-10-28,43,-0.05133088311384848,0.028146105893018365,-1.8237294817604268,0.053768684413015674,-0.05053641572705325,0.37209302325581395
m1_m2_linear,dotcom_2000_2002,2000-03-01,2002-10-31,0,,,,,,
m1_m2_ecdf,full_sample,2007-07-27,2026-06-12,986,0.06820635302855749,0.07701093890437706,0.8856709708895765,0.9999014223548447,-0.19988118346669403,0.577079107505071
m1_m2_ecdf,gfc_2008,2008-09-05,2009-03-27,30,-0.18269545755068672,0.1569880103175366,-1.1637542076057412,0.1362086283187688,-0.17670654114024353,0.5
m1_m2_ecdf,covid_2020,2020-02-21,2020-05-29,15,0.19156584338452598,0.14279629214947986,1.3415323360356857,,-0.05558296157867726,0.6666666666666666
m1_m2_ecdf,rate_shock_2022,2022-01-07,2022-10-28,43,-0.20148449621846953,0.11826683739655632,-1.7036432245404436,0.05524342696033702,-0.19643377035096432,0.37209302325581395
m1_m2_ecdf,dotcom_2000_2002,2000-03-01,2002-10-31,0,,,,,,
