strategy,window,start,end,n_weeks,ann_return,ann_vol,sharpe,dsr,max_drawdown,hit_rate
equal_weight_1_7,full_sample,2007-07-27,2026-06-12,986,0.07362465458614587,0.12898172006979883,0.5708146437053535,0.9953840631918535,-0.39442989970107944,0.5598377281947262
equal_weight_1_7,gfc_2008,2008-09-05,2009-03-27,30,-0.38959413586830305,0.3618160240034664,-1.0767741338746526,0.19225045643429156,-0.326376667047943,0.4
equal_weight_1_7,covid_2020,2020-02-21,2020-05-29,15,-0.18026393257992313,0.4144753958679875,-0.43492070790454856,,-0.22626825158756403,0.5333333333333333
equal_weight_1_7,rate_shock_2022,2022-01-07,2022-10-28,43,-0.24711622596875582,0.138113578114969,-1.7892247043447853,0.04665161455338861,-0.2268494806246475,0.32558139534883723
equal_weight_1_7,dotcom_2000_2002,2000-03-01,2002-10-31,0,,,,,,
sixty_forty,full_sample,2007-07-27,2026-06-12,986,0.06564032805732567,0.13267499341133857,0.4947452897458819,0.989535349570769,-0.4313626336115338,0.5649087221095335
sixty_forty,gfc_2008,2008-09-05,2009-03-27,30,-0.4309407405392569,0.3879805841854903,-1.11072759335098,0.17753454964819726,-0.3554581908128619,0.4666666666666667
sixty_forty,covid_2020,2020-02-21,2020-05-29,15,-0.21532649162876316,0.422288911864428,-0.509903257175485,,-0.2305538140774196,0.5333333333333333
sixty_forty,rate_shock_2022,2022-01-07,2022-10-28,43,-0.2675038885892089,0.1487133085902193,-1.7987891677288816,0.04643138407329315,-0.24472177087905922,0.32558139534883723
sixty_forty,dotcom_2000_2002,2000-03-01,2002-10-31,0,,,,,,
m1_only,full_sample,2007-07-27,2026-06-12,986,0.0205238208094487,0.06923156053129102,0.2964518010564332,0.9239515235938446,-0.1329482724061014,0.5101419878296146
m1_only,gfc_2008,2008-09-05,2009-03-27,30,0.158266625215296,0.15523913768223546,1.0195020893459072,0.7745322361752327,-0.07179995072888834,0.4666666666666667
m1_only,covid_2020,2020-02-21,2020-05-29,15,-0.01703508050447955,0.18487370920253138,-0.09214441890067458,,-0.05098224395907236,0.4
m1_only,rate_shock_2022,2022-01-07,2022-10-28,43,-0.07359935389044336,0.05959505565937832,-1.2349909413812457,0.1328498098975287,-0.08273426969905695,0.3953488372093023
m1_only,dotcom_2000_2002,2000-03-01,2002-10-31,0,,,,,,
m1_m2_binary,full_sample,2007-07-27,2026-06-12,986,0.003953137085291214,0.050743184661922805,0.0779047888229532,0.6712980290227083,-0.2093961126415057,0.12474645030425964
m1_m2_binary,gfc_2008,2008-09-05,2009-03-27,30,-0.2304445881240086,0.15151178625662184,-1.520968063393398,0.037986056153519354,-0.1666247991156825,0.23333333333333334
m1_m2_binary,covid_2020,2020-02-21,2020-05-29,15,0.059966050295677586,0.02375629688584359,2.524217077427225,,-0.0019220667588113471,0.26666666666666666
m1_m2_binary,rate_shock_2022,2022-01-07,2022-10-28,43,-0.232372420205452,0.11510450103889143,-2.01879525221119,0.026351203167435628,-0.2031076574152223,0.32558139534883723
m1_m2_binary,dotcom_2000_2002,2000-03-01,2002-10-31,0,,,,,,
m1_m2_linear,full_sample,2007-07-27,2026-06-12,986,0.004950506067302962,0.007791313210818855,0.6353878907638821,0.9968337512359543,-0.02828873245955099,0.5689655172413793
m1_m2_linear,gfc_2008,2008-09-05,2009-03-27,30,-0.02688070064127024,0.018202223435847015,-1.4767811600604817,0.11983168756611307,-0.0250135807843348,0.4666666666666667
m1_m2_linear,covid_2020,2020-02-21,2020-05-29,15,0.004026814455495575,0.012354983441902974,0.32592633364754603,,-0.007228851016143567,0.6
m1_m2_linear,rate_shock_2022,2022-01-07,2022-10-28,43,-0.029755500092367604,0.015220055821819768,-1.9550191169279116,0.04073820779532512,-0.028038205267849614,0.46511627906976744
m1_m2_linear,dotcom_2000_2002,2000-03-01,2002-10-31,0,,,,,,
m1_m2_ecdf,full_sample,2007-07-27,2026-06-12,986,0.05772397131273199,0.07011159525332926,0.8233156171124342,0.9998362938805795,-0.11847237955359258,0.565922920892495
m1_m2_ecdf,gfc_2008,2008-09-05,2009-03-27,30,0.0727921062429846,0.11445432772760566,0.6359926067297812,0.6882021683452797,-0.06443759640527225,0.6333333333333333
m1_m2_ecdf,covid_2020,2020-02-21,2020-05-29,15,0.05074655486266311,0.12585185640274277,0.40322452376282275,,-0.06032662610338324,0.5333333333333333
m1_m2_ecdf,rate_shock_2022,2022-01-07,2022-10-28,43,-0.09951493828794977,0.0785975971617832,-1.2661320686828488,0.128434282584647,-0.11847237955359224,0.3953488372093023
m1_m2_ecdf,dotcom_2000_2002,2000-03-01,2002-10-31,0,,,,,,
