experiment,strategy,ann_return,sharpe,max_dd,info_ratio
baseline_current,m1_only,0.0581663013174542,0.7051303202652601,-0.1788455154546125,-0.2217530451586067
baseline_current,m1_m2_binary,0.0572703746522396,0.7003119060786198,-0.1798082856376338,-0.2324998140904262
baseline_current,m1_m2_ecdf,0.0500502124042252,0.9326248035183616,-0.1336038825135515,-0.2935493568560995
baseline_current,m1_m2_linear,0.0137763738587946,0.8536660993760385,-0.0379257593655727,-0.5594763246328189
top3_vol12,m1_only,0.0604647159708198,0.7070256925211751,-0.179184461751146,-0.1970626487524769
top3_vol12,m1_m2_binary,0.0600138165841961,0.7083819305050623,-0.1861821334437454,-0.2031002084098047
top3_vol12,m1_m2_ecdf,0.0502079913967421,0.9321102737240812,-0.1336039313649329,-0.291707397989483
top3_vol12,m1_m2_linear,0.0137763738587946,0.8536660993760385,-0.0379257593655727,-0.5594763246328189
top4_vol10,m1_only,0.0557637422850225,0.6081619169312498,-0.2135199139866851,-0.275512389819495
top4_vol10,m1_m2_binary,0.0542604494643761,0.5924053971094605,-0.2135199139866851,-0.2934051153098891
top4_vol10,m1_m2_ecdf,0.0495488728962225,0.9336707547641144,-0.1293387613557443,-0.281584252278363
top4_vol10,m1_m2_linear,0.0128227888878829,0.7703515443210704,-0.0324310284548735,-0.5748343490510222
top4_vol12,m1_only,0.0604940841913084,0.6242048499810341,-0.2255496368978097,-0.2177773966523342
top4_vol12,m1_m2_binary,0.0585783612237249,0.6057767796329985,-0.2255496368978097,-0.2418214060804249
top4_vol12,m1_m2_ecdf,0.0504064794793774,0.9344700605461348,-0.1293387613557444,-0.273545714898208
top4_vol12,m1_m2_linear,0.0128227888878829,0.7703515443210704,-0.0324310284548735,-0.5748343490510222
top5_vol10,m1_only,0.0560551570361074,0.5778836693658267,-0.2247690853563881,-0.2897210943310312
top5_vol10,m1_m2_binary,0.0596896885633879,0.6250329614977188,-0.2127716164243357,-0.2126143593910627
top5_vol10,m1_m2_ecdf,0.0136889491143497,0.2494733301423917,-0.1229643968995896,-0.6033231249378245
top5_vol10,m1_m2_linear,0.011448671093188,0.613657955693972,-0.0376876847821204,-0.594487706472029
top3_m2_050,m1_only,0.0581663013174542,0.7051303202652601,-0.1788455154546125,-0.2217530451586067
top3_m2_050,m1_m2_binary,0.0581663013174542,0.7051303202652601,-0.1788455154546125,-0.2217530451586067
top3_m2_050,m1_m2_ecdf,0.0500502124042252,0.9326248035183616,-0.1336038825135515,-0.2935493568560995
top3_m2_050,m1_m2_linear,0.0137763738587946,0.8536660993760385,-0.0379257593655727,-0.5594763246328189
